,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",0,,,,,
"(-15, -10]",0,,,,,
"(-10, -5]",17,5.513,0.294,5.524,-7.335,0.13355678268498516
"(-5, 0]",2035,3.672,2.559,4.735,-0.389,0.11228342714544892
"(0, 5]",627,4.411,2.354,5.334,0.691,0.017361990214145306
"(5, 10]",14,5.921,0.659,5.642,7.452,0.023927442610700678
"(10, 15]",0,,,,,
"(15, 20]",0,,,,,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
