,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",10,3.175,1.807,2.829,-17.078,0.20788190011561214
"(-15, -10]",19,4.497,2.032,5.258,-12.161,0.35453401824773545
"(-10, -5]",17,4.509,1.606,5.234,-8.052,0.07429430701535655
"(-5, 0]",22,5.45,0.919,5.56,-1.954,0.0033129759543798487
"(0, 5]",27,5.132,1.724,5.643,2.278,0.08433269185400849
"(5, 10]",15,4.827,1.159,4.623,7.779,0.02380272912923531
"(10, 15]",15,5.582,0.628,5.371,13.183,0.0005586732998197341
"(15, 20]",5,5.891,0.881,5.973,15.576,0.6522752189383305
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
