slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-30, -25]",0,,,,,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-25, -20]",10,6.166,0.237,6.181,-21.356,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-20, -15]",12,5.621,0.743,5.649,-16.692,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-15, -10]",51,5.586,0.612,5.831,-11.982,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-10, -5]",31,5.554,0.543,5.604,-6.67,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(-5, 0]",55,5.999,0.795,6.111,-2.926,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(0, 5]",54,5.756,0.8,5.992,2.987,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(5, 10]",37,5.201,0.62,5.126,6.631,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(10, 15]",57,5.757,0.675,5.878,12.056,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(15, 20]",11,5.368,1.004,5.599,17.735,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(20, 25]",8,6.04,0.185,6.018,21.334,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(25, 30]",0,,,,,0.043411326710139364,-0.004350766053185584,5.705285980568141
"(30, 35]",0,,,,,0.043411326710139364,-0.004350766053185584,5.705285980568141
