slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-30, -25]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-25, -20]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-20, -15]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-15, -10]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-10, -5]",2,5.743,0.152,5.743,-7.187,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(-5, 0]",119,3.077,2.769,3.553,-1.044,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(0, 5]",37,4.628,2.045,5.51,0.64,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(5, 10]",1,5.495,,5.495,7.938,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(10, 15]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(15, 20]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(20, 25]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(25, 30]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
"(30, 35]",0,,,,,0.4618637280670912,-0.22087325761197366,3.923783700489169
