,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-30, -25]",4,6.058,0.104,6.03,-26.457,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-25, -20]",8,5.549,1.112,5.813,-21.858,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-20, -15]",6,6.066,1.228,6.471,-18.018,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-15, -10]",21,5.712,0.528,5.711,-12.308,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-10, -5]",13,5.356,1.174,4.895,-7.351,0.06428869094864142,0.004087432872679412,5.872172679394826
"(-5, 0]",26,6.106,1.255,6.473,-2.363,0.06428869094864142,0.004087432872679412,5.872172679394826
"(0, 5]",27,6.001,0.93,6.308,2.144,0.06428869094864142,0.004087432872679412,5.872172679394826
"(5, 10]",17,5.738,0.608,5.816,7.425,0.06428869094864142,0.004087432872679412,5.872172679394826
"(10, 15]",18,5.576,0.712,5.641,12.001,0.06428869094864142,0.004087432872679412,5.872172679394826
"(15, 20]",10,6.108,0.912,6.289,17.983,0.06428869094864142,0.004087432872679412,5.872172679394826
"(20, 25]",5,6.314,0.252,6.309,22.589,0.06428869094864142,0.004087432872679412,5.872172679394826
"(25, 30]",4,5.883,0.172,5.883,26.44,0.06428869094864142,0.004087432872679412,5.872172679394826
"(30, 35]",0,,,,,0.06428869094864142,0.004087432872679412,5.872172679394826
