slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-30, -25]",0,,,,,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-25, -20]",5,5.709,0.443,5.773,-22.982,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-20, -15]",8,4.934,1.885,5.585,-17.232,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-15, -10]",11,4.461,2.459,5.175,-11.541,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-10, -5]",34,4.688,1.933,4.994,-7.01,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(-5, 0]",46,5.013,1.788,5.208,-2.516,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(0, 5]",45,5.267,1.454,5.585,2.661,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(5, 10]",28,4.936,1.54,5.355,6.946,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(10, 15]",14,5.044,1.06,5.229,11.746,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(15, 20]",4,4.416,1.698,5.159,16.777,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(20, 25]",6,5.21,0.86,5.362,22.531,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(25, 30]",1,5.42,,5.42,26.185,0.04569635337696509,-0.005553373055102089,4.967455690870584
"(30, 35]",0,,,,,0.04569635337696509,-0.005553373055102089,4.967455690870584
