,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",4,6.355,0.471,6.21,-18.093,0.7294493008287514
"(-15, -10]",5,5.815,0.273,5.799,-11.997,0.09593749324735024
"(-10, -5]",2,5.346,0.046,5.346,-6.97,1.0
"(-5, 0]",8,5.884,0.622,5.993,-2.416,0.00048547912570451324
"(0, 5]",7,5.725,0.411,5.622,2.878,0.0313200966621614
"(5, 10]",4,5.798,0.712,5.856,6.111,0.5724191324761041
"(10, 15]",4,5.826,0.337,5.76,12.466,0.42422585241961697
"(15, 20]",4,5.983,0.452,5.882,18.147,0.6028512078314623
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
