,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",0,,,,,
"(-15, -10]",0,,,,,
"(-10, -5]",3,5.38,0.258,5.395,-8.554,0.08836017879397129
"(-5, 0]",382,3.596,2.555,4.724,-0.422,0.09828476447312551
"(0, 5]",157,4.47,2.348,5.463,0.584,0.013039462887358244
"(5, 10]",3,6.081,0.797,5.636,7.651,0.04533504822546397
"(10, 15]",0,,,,,
"(15, 20]",0,,,,,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
