,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",2,1.614,0.753,1.614,-16.2,1.0
"(-15, -10]",14,4.596,1.789,5.343,-12.215,0.014540914586421483
"(-10, -5]",8,4.824,1.965,5.396,-7.053,0.09489589097717699
"(-5, 0]",13,5.536,1.042,5.767,-2.057,0.15994659994651905
"(0, 5]",10,4.725,1.401,4.945,1.922,0.009058557173131976
"(5, 10]",10,5.274,0.879,5.279,6.893,0.17281381943015695
"(10, 15]",6,5.608,0.178,5.661,12.979,0.009463203910034634
"(15, 20]",1,5.135,,5.135,16.132,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
